"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"O75385","ULK1","ULK1","Kinase","4","1.414","0.229","6.168","6.92e-10","2.30e-9"
"Q8TAS1","KIS","UHMK1","Kinase","1","0.867","0.143","6.077","1.23e-9","4.02e-9"
"P53778","P38G","MAPK12","Kinase","6","0.914","0.151","6.07","1.28e-9","4.12e-9"
"Q5VT25","MRCKA","CDC42BPA","Kinase","2","2.552","0.421","6.057","1.39e-9","4.42e-9"
"Q9UBE8","NLK","NLK","Kinase","3","0.825","0.143","5.771","7.90e-9","2.48e-8"
"P51812","RSK2","RPS6KA3","Kinase","7","1.149","0.203","5.671","1.42e-8","4.40e-8"
"Q00534","CDK6","CDK6","Kinase","15","0.698","0.125","5.606","2.07e-8","6.33e-8"
"Q15759","P38B","MAPK11","Kinase","4","0.82","0.147","5.592","2.25e-8","6.77e-8"
"P07949","Ret","RET","Kinase","2","0.867","0.162","5.355","8.57e-8","2.55e-7"
"P78527","DNAPK","PRKDC","Kinase","3","1.418","0.268","5.296","1.19e-7","3.48e-7"
"P42345","mTOR","MTOR","Kinase","25","0.772","0.148","5.206","1.93e-7","5.59e-7"
"Q9BYP7","WNK3","WNK3","Kinase","1","2.215","0.437","5.074","3.89e-7","0.00000108"
"Q9H4A3","WNK1","WNK1","Kinase","1","2.215","0.437","5.074","3.89e-7","0.00000108"
"Q9UEW8","STLK3","STK39","Kinase","1","2.215","0.437","5.074","3.89e-7","0.00000108"
"O15111","IKKA","CHUK","Kinase","2","1.216","0.242","5.017","5.25e-7","0.00000145"
"Q13188","MST2","STK3","Kinase","3","1.502","0.301","4.989","6.08e-7","0.00000165"
"Q9Y243","Akt3","AKT3","Kinase","5","0.985","0.198","4.963","6.95e-7","0.00000183"
"O43781","DYRK3","DYRK3","Kinase","1","1.655","0.334","4.962","6.97e-7","0.00000183"
"P00558","PGK1","PGK1","Kinase","1","1.655","0.334","4.962","6.97e-7","0.00000183"
"Q15831","LKB1","STK11","Kinase","2","1.271","0.258","4.931","8.20e-7","0.00000213"
"Q13043","MST1","STK4","Kinase","3","1.792","0.367","4.884","0.00000104","0.00000266"
"P36507","MEK2","MAP2K2","Kinase","1","0.935","0.192","4.873","0.00000110","0.00000279"
"Q9H4B4","PLK3","PLK3","Kinase","1","0.919","0.19","4.837","0.00000132","0.00000330"
"P11802","CDK4","CDK4","Kinase","20","0.646","0.136","4.761","0.00000193","0.00000479"
"P24941","CDK2","CDK2","Kinase","134","0.407","0.086","4.747","0.00000207","0.00000508"
